Model,Parameter,Value,Metric,Score
SVC,C,0.1,accuracy,0.9400000000000001
SVC,C,1.0,accuracy,0.9666666666666668
SVC,C,10.0,accuracy,0.9666666666666668
SVC,C,100.0,accuracy,0.96
SVC,C,0.1,precision_macro,0.9417171717171717
SVC,C,1.0,precision_macro,0.9672222222222221
SVC,C,10.0,precision_macro,0.9714526214526215
SVC,C,100.0,precision_macro,0.9655266955266957
SVC,C,0.1,recall_macro,0.943989898989899
SVC,C,1.0,recall_macro,0.9672222222222221
SVC,C,10.0,recall_macro,0.9649206349206348
SVC,C,100.0,recall_macro,0.9564021164021164
SVC,C,0.1,f1_macro,0.9408508920522649
SVC,C,1.0,f1_macro,0.9669806763285024
SVC,C,10.0,f1_macro,0.9659341371550283
SVC,C,100.0,f1_macro,0.9575266449946757
SVC,kernel,linear,accuracy,0.9666666666666668
SVC,kernel,poly,accuracy,0.9666666666666668
SVC,kernel,rbf,accuracy,0.96
SVC,kernel,sigmoid,accuracy,0.04666666666666667
SVC,kernel,linear,precision_macro,0.971082251082251
SVC,kernel,poly,precision_macro,0.971082251082251
SVC,kernel,rbf,precision_macro,0.9655266955266957
SVC,kernel,sigmoid,precision_macro,0.027103260230195214
SVC,kernel,linear,recall_macro,0.9638095238095238
SVC,kernel,poly,recall_macro,0.9638095238095238
SVC,kernel,rbf,recall_macro,0.9564021164021164
SVC,kernel,sigmoid,recall_macro,0.05626984126984127
SVC,kernel,linear,f1_macro,0.9643467643467645
SVC,kernel,poly,f1_macro,0.9643467643467645
SVC,kernel,rbf,f1_macro,0.9575266449946757
SVC,kernel,sigmoid,f1_macro,0.03451092117758785
SVC,iteration,100,accuracy,0.04666666666666667
SVC,iteration,1000,accuracy,0.04666666666666667
SVC,iteration,10000,accuracy,0.04666666666666667
SVC,iteration,100,precision_macro,0.027103260230195214
SVC,iteration,1000,precision_macro,0.027103260230195214
SVC,iteration,10000,precision_macro,0.027103260230195214
SVC,iteration,100,recall_macro,0.05626984126984127
SVC,iteration,1000,recall_macro,0.05626984126984127
SVC,iteration,10000,recall_macro,0.05626984126984127
SVC,iteration,100,f1_macro,0.03451092117758785
SVC,iteration,1000,f1_macro,0.03451092117758785
SVC,iteration,10000,f1_macro,0.03451092117758785
DecisionTreeClassifier,depth,1,accuracy,0.9533333333333335
DecisionTreeClassifier,depth,2,accuracy,0.9533333333333335
DecisionTreeClassifier,depth,3,accuracy,0.9533333333333335
DecisionTreeClassifier,depth,4,accuracy,0.9533333333333335
DecisionTreeClassifier,depth,5,accuracy,0.9533333333333335
DecisionTreeClassifier,depth,1,precision_macro,0.9581274281274281
DecisionTreeClassifier,depth,2,precision_macro,0.9581274281274281
DecisionTreeClassifier,depth,3,precision_macro,0.9581274281274281
DecisionTreeClassifier,depth,4,precision_macro,0.9581274281274281
DecisionTreeClassifier,depth,5,precision_macro,0.9581274281274281
DecisionTreeClassifier,depth,1,recall_macro,0.9538095238095238
DecisionTreeClassifier,depth,2,recall_macro,0.9538095238095238
DecisionTreeClassifier,depth,3,recall_macro,0.9538095238095238
DecisionTreeClassifier,depth,4,recall_macro,0.9538095238095238
DecisionTreeClassifier,depth,5,recall_macro,0.9538095238095238
DecisionTreeClassifier,depth,1,f1_macro,0.9530439930439931
DecisionTreeClassifier,depth,2,f1_macro,0.9530439930439931
DecisionTreeClassifier,depth,3,f1_macro,0.9530439930439931
DecisionTreeClassifier,depth,4,f1_macro,0.9530439930439931
DecisionTreeClassifier,depth,5,f1_macro,0.9530439930439931
DecisionTreeClassifier,criterion,gini,accuracy,0.9533333333333335
DecisionTreeClassifier,criterion,entropy,accuracy,0.9533333333333335
DecisionTreeClassifier,criterion,log_loss,accuracy,0.9533333333333335
DecisionTreeClassifier,criterion,gini,precision_macro,0.9581274281274281
DecisionTreeClassifier,criterion,entropy,precision_macro,0.9581274281274281
DecisionTreeClassifier,criterion,log_loss,precision_macro,0.9581274281274281
DecisionTreeClassifier,criterion,gini,recall_macro,0.9538095238095238
DecisionTreeClassifier,criterion,entropy,recall_macro,0.9538095238095238
DecisionTreeClassifier,criterion,log_loss,recall_macro,0.9538095238095238
DecisionTreeClassifier,criterion,gini,f1_macro,0.9530439930439931
DecisionTreeClassifier,criterion,entropy,f1_macro,0.9530439930439931
DecisionTreeClassifier,criterion,log_loss,f1_macro,0.9530439930439931
DecisionTreeClassifier,splitter,best,accuracy,0.9533333333333335
DecisionTreeClassifier,splitter,random,accuracy,0.9533333333333334
DecisionTreeClassifier,splitter,best,precision_macro,0.9581274281274281
DecisionTreeClassifier,splitter,random,precision_macro,0.9588600288600289
DecisionTreeClassifier,splitter,best,recall_macro,0.9538095238095238
DecisionTreeClassifier,splitter,random,recall_macro,0.9521933621933621
DecisionTreeClassifier,splitter,best,f1_macro,0.9530439930439931
DecisionTreeClassifier,splitter,random,f1_macro,0.9518662877930613
